student_id,course_id
D003921388,2168
D003921388,1325
D003921388,2170
D003921685,2147
D003921685,2143
D003921685,2145
D003921685,2146
D003921685,3767
D003921685,2144
D003921685,2938
D003921685,2140
D003921685,2142
D003923351,1341
D003923351,1340
D003923351,2913
D003923351,2981
D003923351,1353
D003923351,2926
D003926895,2189
D003926895,1338
D003926895,2954
D003926895,1337
D003926895,2992
D003926895,2923
D003926895,1322
D003927687,2136
D003927687,3767
D003927687,2138
D003927687,2135
D003927687,2132
D003927687,2139
D003927687,2943
D003927687,2134
D003927687,2137
D003931899,3767
D003931899,2143
D003931899,2004
D003931899,2147
D003931899,2144
D003931899,2145
D003931899,2142
D003931899,2146
D003931899,2140
D003939215,3780
D003939215,2934
D003939215,2947
D003939215,1316
D003939215,1317
D003939215,2992
D003939215,1315
D003939437,3002
D003939437,1292
D003939437,1288
D003939437,1290
D003939437,1286
D003939437,1291
D003939437,1289
D003939437,1293
D003939437,3029
D003939437,1284
D003941980,1335
D003941980,3829
D003941980,1349
D003941980,1327
D003941980,1334
D003941980,2885
D003941980,3899
D003944189,2171
D003944189,2170
D003944189,2002
D003944189,2168
D003944189,2977
D003944189,2966
D003944189,2960
D003944189,2893
D003944998,3780
D003944998,1317
D003944998,1316
D003944998,1315
D003944998,2985
D003952856,2171
D003952856,2960
D003952856,2168
D003952856,1349
D003952856,2170
D003952856,2881
D003959558,1334
D003959558,2914
D003959558,2965
D003959558,2904
D003959558,1335
D003959558,3013
D003959558,2976
D003962497,2196
D003962497,2194
D003962497,2936
D003962497,2195
D003962497,2922
D003962497,1312
D003962756,2171
