student_id,course_id
D077516275,2172
D077516275,1356
D077517012,1340
D077517012,1341
D077517012,3013
D077517012,2924
D077521095,2190
D077521095,2153
D077521095,2152
D077521095,1972
D077521095,1971
D077521095,2151
D077521095,2882
D077521095,2154
D077521095,2150
D077521095,2873
D077525505,2156
D077525505,2158
D077525505,2948
D077525505,2160
D077525505,3829
D077525505,1311
D077525505,2157
D077525505,1349
D077525505,2159
D077525505,2987
D077528100,2157
D077528100,1972
D077528100,2159
D077528100,2158
D077528100,2959
D077528100,2156
D077528100,2160
D077528476,1973
D077528476,2175
D077528476,2867
D077528476,2887
D077528476,2174
D077528476,2172
D077534705,2937
D077534705,2929
D077534705,2153
D077534705,2154
D077534705,2150
D077534705,2151
D077534705,2152
D077535726,2134
D077535726,3767
D077535726,2137
D077535726,2139
D077535726,2132
D077535726,2135
D077535726,1361
D077535726,2136
D077535726,2138
D077539786,1300
D077539786,1298
D077539786,1302
D077539786,1294
D077539786,1299
D077539786,1301
D077539786,2964
D077539786,1296
D077539786,2925
D077539786,1303
D077540317,2884
D077540317,1335
D077540317,1334
D077540317,1329
D077542533,2192
D077542533,1298
D077542533,1294
D077542533,1302
D077542533,1299
D077542533,2997
D077542533,2963
D077542533,1300
D077542533,2999
D077542533,1303
D077542533,1301
D077542533,1296
D077544872,1318
D077544872,1319
D077544872,1320
D077544872,2971
D077544933,1284
D077544933,1290
D077544933,1288
D077544933,1293
D077544933,2868
D077544933,1352
D077544933,1286
D077544933,1313
D077544933,2988
D077544933,1292
D077544933,1291
D077544933,1289
D077546982,2987
D077546982,1313
D077546982,1312
