student_id,course_id
D057478401,1286
D057478401,1288
D057478401,1292
D057478401,1290
D057478401,3889
D057478401,1289
D057478401,1293
D057478401,1291
D057478616,2910
D057478616,2132
D057478616,2139
D057478616,2138
D057478616,2137
D057478616,2135
D057478616,2134
D057478616,3767
D057478616,2136
D057480749,2880
D057480749,1326
D057480749,2203
D057480749,1310
D057480749,2926
D057480749,1337
D057480749,1338
D057482309,2937
D057482309,2198
D057482309,1280
D057482309,1278
D057482309,1276
D057482309,1274
D057482309,3809
D057482309,1279
D057482309,2925
D057482309,1281
D057482309,1282
D057482309,1283
D057483252,2964
D057483252,1319
D057483252,1320
D057483252,1318
D057483498,1315
D057483498,3780
D057483498,1317
D057483498,2979
D057483498,1316
D057484372,2918
D057484372,1341
D057484372,1340
D057484372,2952
D057484372,3829
D057485058,2159
D057485058,2156
D057485058,2953
D057485058,2884
D057485058,2157
D057485058,2198
D057485058,3001
D057485058,1310
D057485058,2160
D057485058,2158
D057492346,2965
D057492346,1360
D057492346,2203
D057492346,1331
D057492346,1332
D057493466,1298
D057493466,1303
D057493466,1301
D057493466,1300
D057493466,1296
D057493466,1367
D057493466,1302
D057493466,2944
D057493466,1299
D057493466,2882
D057493466,1294
D057493466,2916
D057493657,2142
D057493657,2140
D057493657,2886
D057493657,2144
D057493657,2147
D057493657,2964
D057493657,3767
D057493657,2143
D057493657,2146
D057493657,2145
D057493657,2960
D057494036,2986
D057494036,1332
D057494036,1331
D057497754,1305
D057497754,1306
D057497754,2971
D057497754,3779
D057497754,3827
D057497754,2002
D057497754,1304
D057497754,2966
D057497754,2871
