student_id,course_id
D0813812,3021
D0813812,2158
D0813812,2903
D0813812,2160
D0813812,2159
D0813812,2157
D0813812,1314
D0813812,2931
D0813816,3900
D0813816,2922
D0813816,2171
D0813816,2168
D0813816,3036
D0813816,2920
D0813816,2170
D0813816,3012
D0813866,3038
D0813866,2974
D0813866,2203
D0813866,2882
D0813866,3041
D0814016,2175
D0814016,3008
D0814016,2182
D0814016,2906
D0814016,2964
D0814016,2172
D0814016,2174
D0814016,1327
D0814017,1356
D0814017,3029
D0814017,2951
D0814017,1319
D0814017,2996
D0814017,2148
D0814017,1320
D0814017,1318
D0814018,3000
D0814018,1360
D0814018,1968
D0814018,2961
D0814018,2915
D0814098,2994
D0814098,3038
D0814098,2922
D0814098,2938
D0814098,3027
D0814104,3780
D0814104,1307
D0814104,2894
D0814104,1309
D0814104,3014
D0814104,2985
D0814104,1308
D0814104,2943
D0814104,2185
D0814109,3812
D0814109,2883
D0814109,3036
D0814109,2881
D0814109,3892
D0814141,3033
D0814141,2977
D0814141,2196
D0814141,3027
D0814141,2195
D0814141,2194
D0814141,3021
D0814165,2157
D0814165,2156
D0814165,3812
D0814165,2159
D0814165,2943
D0814165,2158
D0814165,2193
D0814165,2160
D0814165,2956
D0814165,2148
D0814167,2168
D0814167,2170
D0814167,3820
D0814167,2184
D0814167,2202
D0814167,2903
D0814167,2922
D0814167,2171
D0814170,1319
D0814170,2935
D0814170,1973
D0814170,1318
D0814170,2167
D0814170,1320
D0814170,3029
D0814170,1356
D0814185,3808
D0814185,2965
D0814185,2196
D0814185,2001
D0814185,3000
D0814185,2194
