student_id,course_id
D023096059,1298
D023096059,1303
D023096059,1302
D023096059,2888
D023096059,2952
D023096059,1301
D023096059,3820
D023096059,1296
D023096059,1300
D023096059,1299
D023096059,2897
D023096202,2862
D023096202,2897
D023096202,1303
D023096202,1300
D023096202,1298
D023096202,1296
D023096202,1301
D023096202,1302
D023096202,1299
D023096202,2002
D023096202,1294
D023097889,1321
D023097889,2874
D023097889,2174
D023097889,2175
D023097889,2172
D023097889,1356
D023097889,1313
D023098251,1303
D023098251,1300
D023098251,1299
D023098251,1301
D023098251,2963
D023098251,1296
D023098251,2903
D023098251,2965
D023098251,1298
D023098251,1302
D023098251,1294
D023105584,1340
D023105584,1341
D023105584,2981
D023114401,1299
D023114401,1301
D023114401,2892
D023114401,1296
D023114401,1298
D023114401,1294
D023114401,1300
D023114401,1303
D023114401,1302
D023114913,3780
D023114913,1307
D023114913,2928
D023114913,1308
D023114913,3808
D023114913,1309
D023117471,3002
D023117471,1338
D023117471,2919
D023117471,3891
D023117471,1337
D023117471,2999
D023120280,2195
D023120280,2194
D023120280,2895
D023120280,2196
D023120280,2969
D023120280,2894
D023120334,1320
D023120334,2961
D023120334,1318
D023120334,1319
D023124288,3767
D023124288,2135
D023124288,2138
D023124288,2134
D023124288,2139
D023124288,2137
D023124288,2924
D023124288,2132
D023124288,2136
D023124288,2188
D023125216,2157
D023125216,1971
D023125216,2159
D023125216,2158
D023125216,2156
D023125216,2160
D023125216,1330
D023125216,2884
D023125216,1329
D023125216,2870
D023126763,2900
D023126763,1346
D023126763,1348
D023126787,3813
D023126787,2928
D023126787,2910
