student_id,course_id
D059816980,3808
D059816980,1289
D059816980,2921
D059816980,1284
D059821120,1293
D059821120,2949
D059821120,1292
D059821120,1284
D059821120,1286
D059821120,1291
D059821120,1288
D059821120,1290
D059821120,1289
D059821151,1320
D059821151,1319
D059821151,2962
D059821151,2163
D059821151,1318
D059821151,2891
D059821151,3007
D059824541,3780
D059824541,2919
D059824541,1316
D059824541,1317
D059824541,1315
D059824541,2002
D059825821,2176
D059825821,2883
D059825821,1293
D059825821,1288
D059825821,2928
D059825821,1292
D059825821,1290
D059825821,1286
D059825821,1284
D059825821,2863
D059825821,1291
D059825821,1289
D059826507,2159
D059826507,2160
D059826507,2949
D059826507,2156
D059826507,2920
D059826507,2158
D059826507,2157
D059826507,2921
D059836292,1298
D059836292,1301
D059836292,1296
D059836292,1299
D059836292,1302
D059836292,1968
D059836292,1327
D059836292,1303
D059836292,2184
D059836292,1294
D059836292,1300
D059836773,2140
D059836773,2147
D059836773,1325
D059836773,2146
D059836773,2143
D059836773,2144
D059836773,2142
D059836773,3767
D059836773,2937
D059836773,2145
D059837763,1283
D059837763,3009
D059837763,1280
D059837763,1276
D059837763,2980
D059837763,1278
D059837763,1279
D059837763,1281
D059837763,1282
D059837763,1274
D059842477,3899
D059842477,1292
D059842477,3029
D059842477,1288
D059842477,1289
D059842477,1286
D059842477,3002
D059842477,1291
D059842477,1293
D059842477,1290
D059842477,1284
D059842477,2203
D059842477,1312
D059843030,3813
D059843030,2144
D059843030,2987
D059843030,3767
D059843030,2142
D059843030,2162
D059843030,2140
D059843030,3827
D059843030,2146
D059843030,2147
