student_id,course_id,course_name
D0981350,2877,日本歷史與文化
D0981350,3767,全民國防教育軍事訓練(二)
D0981350,2144,經濟學(二)
D0981350,2147,資訊網路
D0981350,2140,班級活動
D0981350,2145,經濟學(二)實習
D0981366,2135,會計學(二)實習
D0981366,2137,經濟學(二)實習
D0981366,2937,性別與心理衛生
D0981366,2139,資訊網路
D0981366,2132,班級活動
D0981366,2997,舞台道具製作
D0981366,2134,會計學(二)
D0981366,2136,經濟學(二)
D0981366,3767,全民國防教育軍事訓練(二)
D0981366,2138,管理學
D0981409,3043,戀愛、家庭與性別平等
D0981409,2931,衛星科技應用
D0981409,3037,民法實用
D0981409,3030,氣候變遷對臺灣之衝擊
D0981409,2912,電影與性別
D0981425,2196,財務管理
D0981425,3030,氣候變遷對臺灣之衝擊
D0981425,2958,民法實用
D0981425,2961,住宅問題研究
D0981425,2195,作業管理
D0981425,2935,醫學與人生
D0981425,2194,行銷管理
D0981425,2979,觀光美儀與國際禮儀
D0981444,2905,批判思考
D0981444,2151,組織行為
D0981444,2177,文化創意經營策略
D0981444,2150,商事法
D0981444,2153,統計學(二)實習
D0981444,2864,人生哲學
D0981444,2154,管理科學
D0981444,2152,統計學(二)
D0981444,2982,智慧的天空之眼
D0981444,3019,越南地理與文化
D0981483,2974,非商業背景會計學
D0981483,2885,台灣民間信仰
D0981483,1305,資料庫系統
D0981483,1304,系統程式
D0981483,3779,全民國防教育軍事訓練(二)
D0981483,1306,機率論
D0981483,2975,台灣的政府與政治
D0981483,3036,社會學與生活體驗
D0981483,2954,教育的理論與實踐
D0981488,1319,資料庫系統
D0981488,1329,電子商務安全
D0981488,1318,系統程式
D0981488,1320,機率論
D0981488,1364,資訊專題研討(六)
D0981488,2937,性別與心理衛生
D0981524,2927,系統品質建模與挑戰
D0981524,2889,台灣民間信仰
D0981524,3779,全民國防教育軍事訓練(二)
D0981524,1351,研究報告寫作
D0981524,1304,系統程式
D0981524,1306,機率論
D0981524,3031,食品衛生與安全
D0981524,1305,資料庫系統
D0981524,2991,創業創意營運管理
D0981587,2883,文學、電影DIY
D0981587,2967,婚姻與家庭
D0981587,2890,台灣民間信仰
D0981587,3037,民法實用
D0981587,2907,旅遊與多元學習
D0981592,3001,事業創新
D0981592,3035,社會學與生活體驗
D0981592,3897,國際企業策略與文化
D0981592,2881,文學與生活
D0981592,2974,非商業背景會計學
D0981601,3812,音樂劇演唱技巧
D0981601,3892,打造自我品牌─職能加值課程
D0981601,3780,全民國防教育軍事訓練(二)
D0981601,1307,系統程式
D0981601,3045,空間資訊與智慧生活
D0981601,2198,數量方法
D0981601,1309,機率論
D0981601,2939,智慧城市無所不在的監測系統
D0981601,1308,資料庫系統
D0981622,3891,使用者導向設計
D0981622,1332,計算機演算法
D0981622,2980,從空間看世界
D0981622,1331,計算機結構學
D0981622,2951,心理學整合與發展
D0981622,2887,台灣民間信仰
D0981622,2898,現代散文
D0981647,2195,作業管理
D0981647,2185,產業與競爭分析
D0981647,2196,財務管理
D0981647,2194,行銷管理
D0981647,3019,越南地理與文化
D0981647,2928,奈米科技與生活
D0981647,1330,數位信號處理導論
D0981647,3009,基礎影音製作
D0981666,2158,統計學(二)
D0981666,2873,希臘羅馬神話故事與西洋藝術
D0981666,2985,創業與創新
