student_id,course_id,course_name
D085263192,2195,作業管理
D085263192,2194,行銷管理
D085263192,2997,舞台道具製作
D085263192,3007,科技與藝術
D085263192,2004,人工智慧概論與實務
D085263192,2196,財務管理
D085265073,2964,服務學習專題
D085265073,2963,服務學習專題
D085265073,2905,批判思考
D085265073,3780,全民國防教育軍事訓練(二)
D085265073,1317,機率論
D085265073,1316,資料庫系統
D085265073,2947,戀愛心理學
D085265073,1315,系統程式
D085267633,2888,台灣民間信仰
D085267633,1341,計算機演算法
D085267633,3009,基礎影音製作
D085267633,2914,鋼琴音樂萬花筒
D085267633,1340,計算機結構學
D085269903,1354,無線隨意與感測網路技術與應用
D085269903,1338,計算機演算法
D085269903,1311,物件導向設計
D085269903,1337,計算機結構學
D085271609,2172,企業倫理與社會責任
D085271609,2910,台灣環境與永續生活
D085271609,2175,管理資訊系統
D085271609,2972,行政領導與人脈經營
D085271609,2190,流通管理
D085271609,2914,鋼琴音樂萬花筒
D085271609,2174,國際企業管理
D085271746,2165,消費者行為
D085271746,2895,音樂與人生
D085271746,3780,全民國防教育軍事訓練(二)
D085271746,1308,資料庫系統
D085271746,1355,知識管理與創新
D085271746,1307,系統程式
D085271746,2928,奈米科技與生活
D085271746,1309,機率論
D085276574,3779,全民國防教育軍事訓練(二)
D085276574,3818,iOS APP程式設計
D085276574,1304,系統程式
D085276574,1306,機率論
D085276574,2864,人生哲學
D085276574,2973,行政領導與人脈經營
D085276574,1305,資料庫系統
D085276574,2892,生死與哲學
D085276574,3897,國際企業策略與文化
D085277373,2921,皮膚保養醫學
D085277373,2171,管理資訊系統
D085277373,2180,投資組合管理
D085277373,2168,企業倫理與社會責任
D085277373,2170,國際企業管理
D085277373,2884,古典小說
D085278004,2928,奈米科技與生活
D085278004,2910,台灣環境與永續生活
D085278004,2174,國際企業管理
D085278004,2172,企業倫理與社會責任
D085278004,2175,管理資訊系統
D085278004,2884,古典小說
D085283022,2134,會計學(二)
D085283022,3818,iOS APP程式設計
D085283022,2136,經濟學(二)
D085283022,3767,全民國防教育軍事訓練(二)
D085283022,2139,資訊網路
D085283022,2132,班級活動
D085283022,2138,管理學
D085283022,2943,模擬亞太經合會
D085283022,2135,會計學(二)實習
D085283022,2137,經濟學(二)實習
D085300453,1301,線性代數
D085300453,1300,微積分(二)
D085300453,1299,微積分(二)實習
D085300453,2184,職場英文
D085300453,1294,班級活動
D085300453,1298,普通物理-電、磁、光實驗
D085300453,1296,程式設計(III)
D085300453,1302,邏輯設計
D085300453,1303,邏輯設計實習
D085301023,1280,微積分(二)
D085301023,1283,邏輯設計實習
D085301023,1281,線性代數
D085301023,1278,普通物理-電、磁、光實驗
D085301023,1276,程式設計(III)
D085301023,2875,世界音樂文化
D085301023,1274,班級活動
D085301023,2889,台灣民間信仰
D085301023,1279,微積分(二)實習
D085301023,1282,邏輯設計
D085301191,2137,經濟學(二)實習
D085301191,2136,經濟學(二)
D085301191,2132,班級活動
D085301191,3767,全民國防教育軍事訓練(二)
D085301191,1355,知識管理與創新
D085301191,2135,會計學(二)實習
D085301191,2134,會計學(二)
D085301191,2139,資訊網路
D085301191,2138,管理學
D085302747,1303,邏輯設計實習
D085302747,1294,班級活動
D085302747,1302,邏輯設計
