student_id,course_id,course_name
D032159479,2172,企業倫理與社會責任
D032159479,2175,管理資訊系統
D032159479,2174,國際企業管理
D032172287,2175,管理資訊系統
D032172287,1356,資料探勘
D032172287,2172,企業倫理與社會責任
D032172287,2174,國際企業管理
D032172287,2972,行政領導與人脈經營
D032172287,2987,專利撰寫實務
D032172287,2950,智慧財產之保護與實務
D032172287,1970,地理資訊於APPS之應用
D032182293,1353,雲端計算
D032182293,1317,機率論
D032182293,1315,系統程式
D032182293,2979,觀光美儀與國際禮儀
D032182293,3780,全民國防教育軍事訓練(二)
D032182293,2963,服務學習專題
D032182293,2966,婚姻與家庭
D032182293,1316,資料庫系統
D032182743,1313,資訊與網路安全
D032182743,2949,智慧財產之保護與實務
D032182743,2175,管理資訊系統
D032182743,2174,國際企業管理
D032182743,2172,企業倫理與社會責任
D032189094,1968,超大型積體電路設計導論
D032189094,1348,資訊專題研討(二)
D032189094,1346,文獻研討(二)
D032195781,1281,線性代數
D032195781,1278,普通物理-電、磁、光實驗
D032195781,1283,邏輯設計實習
D032195781,2953,教育的理論與實踐
D032195781,1274,班級活動
D032195781,2903,應用文
D032195781,1282,邏輯設計
D032195781,1279,微積分(二)實習
D032195781,1276,程式設計(III)
D032195781,2925,國防科技與產業發展
D032195781,1280,微積分(二)
D032199475,1324,資訊與網路安全
D032199475,2935,醫學與人生
D032199475,1335,計算機演算法
D032199475,1327,物件導向設計實習
D032199475,1334,計算機結構學
D032202076,2983,智慧綠台灣
D032202076,2182,財務管理個案研究
D032202076,2195,作業管理
D032202076,2969,心理劇與自我成長
D032202076,2196,財務管理
D032202076,2899,當代文學閱讀與寫作
D032202076,3813,劇場與影像設計
D032202076,2194,行銷管理
D032211566,2992,聲音表達與訓練
D032211566,2889,台灣民間信仰
D032211566,2868,中國文物欣賞
D032211566,1337,計算機結構學
D032211566,1338,計算機演算法
D032211566,2926,創新綠色科技
D032213713,1306,機率論
D032213713,3779,全民國防教育軍事訓練(二)
D032213713,1305,資料庫系統
D032213713,1304,系統程式
D032213713,2878,日本歷史與文化
D032215465,2001,電子商務安全
D032215465,2170,國際企業管理
D032215465,1323,物件導向設計實習
D032215465,2168,企業倫理與社會責任
D032215465,1321,系統分析與設計
D032215465,2171,管理資訊系統
D032215465,3014,築橋創新競賽
D032215465,2935,醫學與人生
D032216189,1360,敏捷開發
D032216189,2189,科技應用與金融服務
D032216189,1338,計算機演算法
D032216189,1337,計算機結構學
D032216189,3899,電子商務與大數據
D032216189,2181,作業管理個案研究
D032218282,1331,計算機結構學
D032218282,1332,計算機演算法
D032218282,1327,物件導向設計實習
D032218282,2162,休閒事業管理
D032220681,1315,系統程式
D032220681,1317,機率論
D032220681,3780,全民國防教育軍事訓練(二)
D032220681,1316,資料庫系統
D032220681,2930,認識天然災害
D032224672,2894,宗教與人生
D032224672,1319,資料庫系統
D032224672,1320,機率論
D032224672,2872,希臘羅馬神話故事與西洋藝術
D032224672,1318,系統程式
D032228717,1299,微積分(二)實習
D032228717,1298,普通物理-電、磁、光實驗
D032228717,1294,班級活動
D032228717,1303,邏輯設計實習
D032228717,1302,邏輯設計
D032228717,1314,UNIX應用與實務
D032228717,1296,程式設計(III)
D032228717,1301,線性代數
D032228717,1300,微積分(二)
D032228953,1274,班級活動
